pisteet,sija
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
1,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
0,Kyrilliset
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
0,Monikko
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
0,Genetiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
0,Akkusatiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Instrumentaali
0,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
0,Instrumentaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
0,Prepositionaali
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
0,Monikko
0,Monikko
0,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Monikko
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Genetiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Akkusatiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Datiivi
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Instrumentaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
1,Prepositionaali
0,Kyrilliset
0,Kollektiiviluvut
0,Kollektiiviluvut
0,Kollektiiviluvut
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Datiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
0,Nominatiivi
1,Nominatiivi
1,Nominatiivi
0,Nominatiivi
1,Nominatiivi
1,Nominatiivi
1,Nominatiivi
